frame_id,stone_id,team,x_px,y_px
696,265,yellow,558,429
697,266,yellow,558,429
698,267,yellow,558,429
699,268,yellow,558,429
700,269,yellow,558,429
701,270,yellow,558,429
702,271,yellow,558,429
703,272,yellow,558,429
704,273,yellow,558,429
705,274,yellow,558,429
706,275,yellow,558,429
707,276,yellow,558,429
708,277,yellow,558,429
709,278,yellow,558,429
710,279,yellow,558,429
711,280,yellow,558,429
712,281,yellow,558,429
713,282,yellow,558,429
714,283,yellow,558,429
715,284,yellow,558,429
716,285,yellow,558,429
717,286,yellow,558,429
718,287,yellow,558,429
719,288,yellow,558,429
720,289,yellow,558,429
721,290,yellow,558,429
722,291,yellow,558,429
723,292,yellow,558,429
724,293,yellow,558,429
725,294,yellow,558,429
726,295,yellow,558,429
727,296,yellow,558,429
728,297,yellow,558,429
729,298,yellow,558,429
730,299,yellow,558,429
731,300,yellow,558,429
732,301,yellow,558,429
733,302,yellow,558,429
734,303,yellow,558,429
735,304,yellow,558,429
736,305,yellow,558,429
737,306,yellow,558,429
738,307,yellow,558,429
739,308,yellow,558,429
740,309,yellow,558,429
741,310,yellow,558,429
742,311,yellow,558,429
743,312,yellow,558,429
744,313,yellow,558,429
745,314,yellow,558,429
746,315,yellow,558,429
747,316,yellow,558,429
748,317,yellow,558,429
749,318,yellow,558,429
750,319,yellow,558,429
751,320,yellow,558,429
752,321,yellow,558,429
753,322,yellow,558,429
754,323,yellow,558,429
755,324,yellow,558,429
756,325,yellow,558,429
757,326,yellow,558,429
758,327,yellow,558,429
759,328,red,907,308
759,329,red,810,300
759,330,red,717,293
759,331,red,312,404
759,332,red,771,288
759,333,red,736,295
760,334,red,789,294
760,335,red,880,300
760,336,red,312,409
760,337,red,695,286
760,338,red,746,283
760,339,red,678,288
760,340,red,711,287
761,341,red,860,294
761,342,red,769,287
761,343,red,315,407
761,344,red,689,281
761,345,red,730,278
761,346,red,673,282
762,347,red,317,405
762,348,red,849,291
762,349,red,755,284
762,350,red,665,278
762,351,red,682,279
762,352,red,717,275
763,353,red,316,406
763,354,red,730,275
763,355,red,823,283
763,356,red,657,270
763,357,red,693,266
763,358,red,301,409
764,359,red,796,278
764,360,red,642,265
764,361,red,321,408
764,362,red,711,271
764,363,red,675,262
764,364,red,762,275
765,365,red,323,403
765,366,red,794,276
765,367,red,701,269
765,368,red,631,266
765,369,red,668,262
765,370,red,752,271
766,371,red,325,406
766,372,red,682,266
766,373,red,769,272
766,374,red,647,254
766,375,red,616,256
767,376,red,660,263
767,377,red,326,401
767,378,red,747,269
767,379,red,619,247
768,380,red,724,265
768,381,red,330,409
768,382,red,645,258
768,383,red,694,262
768,384,red,605,242
769,385,red,715,263
769,386,red,331,409
769,387,red,639,256
769,388,red,651,257
770,389,red,338,408
770,390,red,693,254
770,391,red,626,249
771,392,red,338,406
771,393,red,675,250
771,394,red,614,241
772,395,red,340,406
772,396,red,658,243
772,397,red,599,227
773,398,red,341,403
773,399,red,645,238
774,400,red,342,402
774,401,red,628,231
775,402,red,343,403
775,403,red,628,231
776,404,red,345,401
776,405,red,601,217
777,406,red,347,402
777,407,red,595,215
778,408,red,352,404
779,409,red,352,404
780,410,red,358,410
781,411,red,360,413
782,412,red,368,414
783,413,red,371,419
784,414,red,375,425
785,415,red,383,437
786,416,red,389,435
787,417,red,396,440
788,418,red,402,443
789,419,red,414,451
789,420,red,222,174
790,421,red,421,451
790,422,red,219,173
791,423,red,431,458
791,424,red,219,173
792,425,red,449,469
793,426,red,449,469
794,427,red,477,470
795,428,red,481,468
795,429,red,484,486
796,430,red,493,482
797,431,red,503,486
798,432,red,519,476
798,433,red,516,493
799,434,red,531,481
799,435,red,523,493
800,436,red,89,161
800,437,red,541,494
801,438,red,87,158
801,439,red,562,489
802,440,red,78,156
802,441,red,570,502
803,442,red,72,155
803,443,red,118,160
803,444,red,99,151
803,445,red,102,156
803,446,red,83,155
804,447,red,56,157
804,448,red,116,158
804,449,red,92,153
805,450,red,56,158
805,451,red,112,159
805,452,red,86,155
806,453,red,99,165
806,454,red,52,161
806,455,red,79,159
806,456,red,42,161
806,457,red,132,167
806,458,red,138,166
807,459,red,44,161
807,460,red,96,165
807,461,red,139,168
807,462,red,76,162
807,463,red,35,163
807,464,red,84,164
807,465,red,54,161
808,466,red,132,167
808,467,red,80,165
808,468,red,31,161
808,469,red,45,161
808,470,red,59,160
809,471,red,132,167
809,472,red,80,165
809,473,red,30,161
809,474,red,45,161
809,475,red,59,160
810,476,red,116,167
810,477,red,64,163
810,478,red,19,160
810,479,red,73,164
810,480,red,35,158
810,481,red,25,158
810,482,red,41,158
811,483,red,113,168
811,484,red,62,163
811,485,red,18,160
811,486,red,36,158
811,487,red,100,167
811,488,red,28,158
812,489,red,104,166
812,490,red,58,163
812,491,red,14,158
812,492,red,40,161
812,493,red,34,157
812,494,red,92,166
812,495,red,22,158
813,496,red,101,166
813,497,red,108,167
813,498,red,47,161
813,499,red,60,162
813,500,red,12,158
813,501,red,21,157
813,502,red,26,157
813,503,red,87,165
813,504,red,31,159
814,505,red,102,166
814,506,red,93,166
814,507,red,43,162
814,508,red,10,157
814,509,red,85,166
814,510,red,25,157
814,511,red,29,160
815,512,red,90,166
815,513,red,32,162
815,514,red,71,164
815,515,red,80,165
815,516,red,68,165
815,517,red,9,157
815,518,red,12,158
815,519,red,16,160
816,520,red,78,165
816,521,red,30,162
816,522,red,69,165
816,523,red,13,159
817,524,red,76,166
817,525,red,21,162
817,526,red,59,164
817,527,red,55,166
818,528,red,63,165
818,529,red,19,162
819,530,red,64,166
819,531,red,16,162
819,532,red,54,165
819,533,red,40,165
820,534,red,62,166
820,535,red,15,161
820,536,red,40,164
820,537,red,51,165
821,538,red,56,167
821,539,red,12,162
821,540,red,47,166
821,541,red,40,165
821,542,red,34,166
822,543,red,55,168
822,544,red,12,165
822,545,red,45,168
822,546,red,37,168
823,547,red,55,169
823,548,red,12,166
823,549,red,48,169
823,550,red,41,168
823,551,red,34,168
824,552,red,14,168
824,553,red,59,172
824,554,red,40,172
825,555,red,63,173
825,556,red,16,170
825,557,red,41,172
826,558,red,64,174
826,559,red,17,170
826,560,red,43,174
826,561,red,8,169
826,562,red,58,174
827,563,red,67,176
827,564,red,19,171
827,565,red,52,175
827,566,red,60,175
827,567,red,7,170
828,568,red,69,176
828,569,red,19,172
828,570,red,53,176
828,571,red,10,171
829,572,red,69,177
829,573,red,19,172
829,574,red,52,176
829,575,red,59,176
829,576,red,9,171
830,577,red,67,177
830,578,red,19,172
830,579,red,62,176
830,580,red,49,176
830,581,red,7,171
831,582,red,67,177
831,583,red,18,173
831,584,red,52,176
831,585,red,45,175
831,586,red,7,172
831,587,red,26,173
832,588,red,67,178
832,589,red,18,172
832,590,red,53,177
832,591,red,62,177
832,592,red,46,176
832,593,red,958,156
832,594,red,7,172
832,595,red,28,173
833,596,red,66,178
833,597,red,1000,159
833,598,red,18,173
833,599,red,53,177
833,600,red,957,156
833,601,red,978,157
833,602,red,1024,161
833,603,red,46,177
833,604,red,7,172
833,605,red,24,173
833,606,red,29,173
834,607,red,66,178
834,608,red,1000,159
834,609,red,18,173
834,610,red,955,157
834,611,red,52,177
834,612,red,978,157
834,613,red,45,177
834,614,red,1023,161
834,615,red,7,172
834,616,red,31,173
834,617,red,26,174
835,618,red,66,178
835,619,red,1000,160
835,620,red,18,173
835,621,red,52,177
835,622,red,978,157
835,623,red,955,157
835,624,red,44,177
835,625,red,12,172
835,626,red,1023,161
835,627,red,7,172
835,628,red,34,174
835,629,red,27,174
836,630,red,64,178
836,631,red,999,160
836,632,red,17,172
836,633,red,953,157
836,634,red,43,176
836,635,red,50,177
836,636,red,978,157
836,637,red,919,155
836,638,red,7,172
836,639,red,11,172
836,640,red,1024,161
837,641,red,63,178
837,642,red,17,173
837,643,red,998,159
837,644,red,953,157
837,645,red,42,175
837,646,red,51,177
837,647,red,978,157
837,648,red,7,172
837,649,red,11,172
837,650,red,918,155
837,651,red,935,155
837,652,red,1021,161
838,653,red,63,178
838,654,red,18,173
838,655,red,998,159
838,656,red,953,157
838,657,red,42,175
838,658,red,12,172
838,659,red,50,177
838,660,red,977,157
838,661,red,7,172
838,662,red,918,155
838,663,red,936,156
839,664,red,62,179
839,665,red,995,160
839,666,red,17,173
839,667,red,41,176
839,668,red,952,157
839,669,red,11,172
839,670,red,7,173
839,671,red,48,177
839,672,red,917,155
839,673,red,976,158
839,674,red,1026,161
840,675,red,995,161
840,676,red,62,180
840,677,red,15,173
840,678,red,41,177
840,679,red,952,157
840,680,red,8,173
840,681,red,49,178
840,682,red,917,155
840,683,red,1018,163
841,684,red,995,161
841,685,red,61,179
841,686,red,15,173
841,687,red,41,177
841,688,red,51,178
841,689,red,952,157
841,690,red,9,173
841,691,red,917,156
841,692,red,1018,164
842,693,red,15,173
842,694,red,996,162
842,695,red,62,181
842,696,red,41,178
842,697,red,951,158
842,698,red,48,179
842,699,red,915,156
842,700,red,1018,165
842,701,red,975,160
843,702,red,15,174
843,703,red,61,180
843,704,red,995,163
843,705,red,40,178
843,706,red,951,158
843,707,red,49,179
843,708,red,914,156
843,709,red,1019,165
843,710,red,976,160
844,711,red,15,173
844,712,red,995,162
844,713,red,61,180
844,714,red,41,178
844,715,red,951,158
844,716,red,48,179
844,717,red,914,156
844,718,red,1019,165
844,719,red,975,160
845,720,red,995,162
845,721,red,14,173
845,722,red,61,180
845,723,red,41,178
845,724,red,48,179
845,725,red,951,158
845,726,red,914,156
845,727,red,1019,165
